Ticker,Nombre,Industria,Sector,Activo
MMM,3M CO,Industrial,Industrial,SI
ABT,ABBOTT LABORATORIES,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
ABBV,ABBVIE INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
ANF,ABERCROMBIE & FITCH CO-CL A,"Consumer, Cyclical","Consumer, Cyclical",SI
ACN,ACCENTURE PLC,Technology,Technology,SI
AGRO,ADECOAGRO SA,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
ADS,ADIDAS AG,"Consumer, Cyclical","Consumer, Cyclical",SI
ADBE,ADOBE INC,Technology,Technology,SI
AAP,ADVANCED AUTO PARTS INC,Financial,Financial,SI
AMD,ADVANCED MICRO DEVICES,Technology,Technology,SI
AEM,AGNICO EAGLE MINES LTD,Basic Materials,Basic Materials,SI
GOOGL,ALPHABET INC-CL A,Communications,Communications,SI
MO,ALTRIA GROUP INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
AMZN,AMAZON.COM INC,Communications,Communications,SI
AXP,AMERICAN EXPRESS CO,Financial,Financial,SI
AIG,AMERICAN INTERNATIONAL GROUP,Financial,Financial,SI
AMGN,AMGEN INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
ADI,ANALOG DEVICES INC,Technology,Technology,SI
AAPL,APPLE INC,Technology,Technology,SI
AMAT,APPLIED MATERIALS INC,Technology,Technology,SI
ARCO,ARCOS DORADOS HOLDINGS INC-A,"Consumer, Cyclical","Consumer, Cyclical",SI
T,AT&T INC,Communications,Communications,SI
ADP,AUTOMATIC DATA PROCESSING,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
AVY,AVERY DENNISON CORP,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
CAR,AVIS BUDGET GROUP INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
BAC,BANK OF AMERICA CORP,Financial,Financial,SI
BK,BANK OF NEW YORK MELLON CORP,Financial,Financial,SI
GOLD,BARRICK GOLD CORP,Basic Materials,Basic Materials,SI
BAS GR,BASF SE,Basic Materials,Basic Materials,SI
BAY GR,BAYER AG-REG,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
BRK/B,BERKSHIRE HATHAWAY INC-CL B,Financial,Financial,SI
BIOX,BIOCERES CROP SOLUTIONS CORP,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
BIIB,BIOGEN INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
BB,BLACKBERRY LTD,Technology,Technology,SI
XYZ,BLOCK INC,"Consumer, Non-cyclical","Consumer, Non-cyclical",SI
